Source,Target,Type,Id,Label,timeset,Weight
9,מתכנן מראש,Undirected,14402,,,10
9,9,Undirected,14403,,,10
9,מפקח המרחב,Undirected,14404,,,10
9,מפקח העבודה,Undirected,14405,,,10
12,מפקח הראשי,Undirected,14445,,,8
"בונה מקצועי",14,Undirected,14469,,,4
"מתכנן הקמת",14,Undirected,14470,,,4
"מוסד ביקורת מוסמך",14,Undirected,14471,,,4
11,בונה מקצועי,Undirected,14421,,,4
"מפקח העבודה",מפקח העתק,Undirected,12833,,,2
11,11,Undirected,14430,,,2
13,14,Undirected,14464,,,8
12,14,Undirected,14465,,,8
11,קבלן,Undirected,14423,,,12
"ממונה על בני",11,Undirected,14439,,,4
10,11,Undirected,14424,,,2
13,מפקח העבודה,Undirected,14462,,,10
15,מפקח הראשי,Undirected,14480,,,2
13,מפקח העתק,Undirected,14461,,,2
8,14,Undirected,14467,,,8
8,10,Undirected,14410,,,14
7,10,Undirected,14411,,,2
"מפקח הראשי",10,Undirected,14412,,,2
"מפקח העבודה",מפקח המרחב,Undirected,12916,,,10
"מפקח העבודה",מתכנן מראש,Undirected,12926,,,10
10,קבלן,Undirected,14407,,,16
"מפקח המרחב",מתכנן מראש,Undirected,12946,,,10
10,10,Undirected,14408,,,14
"מפקח העתק",10,Undirected,14417,,,2
"מפקח העבודה",10,Undirected,14418,,,20
"מפקח על מקום",10,Undirected,14420,,,2
12,13,Undirected,14463,,,8
12,מפקח העבודה,Undirected,14447,,,8
8,קבלן,Undirected,14381,,,28
12,12,Undirected,14448,,,8
"קבלן",14,Undirected,14472,,,12
13,11,Undirected,14451,,,8
"מפקח הראשי",14,Undirected,14473,,,8
14,14,Undirected,14474,,,8
"מפקח העבודה",14,Undirected,14475,,,12
"מפקח האזורי",14,Undirected,14476,,,8
"מוסד ביקורת מוסמך",11,Undirected,14428,,,4
13,10,Undirected,14452,,,2
"מפקח האזורי",מפקח העבודה,Undirected,13219,,,8
11,14,Undirected,14466,,,12
15,11,Undirected,14477,,,2
"מפקח האזורי",מפקח הראשי,Undirected,13231,,,8
"מפקח האזורי",קבלן,Undirected,13243,,,8
13,8,Undirected,14453,,,10
13,7,Undirected,14454,,,8
13,קבלן,Undirected,14456,,,8
13,מפקח הראשי,Undirected,14457,,,8
7,8,Undirected,14386,,,14
15,10,Undirected,14478,,,2
"מפקח העבודה",מפקח הראשי,Undirected,13335,,,10
"מפקח העבודה",קבלן,Undirected,13347,,,28
"מפקח הכללי",8,Undirected,14394,,,2
"מפקח העתק",8,Undirected,14395,,,2
"מפקח העבודה",8,Undirected,14396,,,26
15,15,Undirected,14482,,,2
"מפקח הראשי",קבלן,Undirected,13503,,,8
"מפקח הראשי",11,Undirected,14432,,,10
8,8,Undirected,14398,,,18
8,11,Undirected,14425,,,8
8,בונה מקצועי,Undirected,14399,,,4
"מפקח על מקום",מפקח העבודה,Undirected,13945,,,2
7,11,Undirected,14426,,,6
12,מפקח האזורי,Undirected,14449,,,8
"ממונה על הציוד",מפקח העבודה,Undirected,13955,,,2
12,11,Undirected,14440,,,8
8,מוסד ביקורת מוסמך,Undirected,14401,,,4
7,14,Undirected,14468,,,4
"ממונה על הציוד",8,Undirected,14387,,,2
12,8,Undirected,14441,,,8
12,7,Undirected,14442,,,8
"מפקח הראשי",8,Undirected,14388,,,8
"מפקח העבודה",11,Undirected,14434,,,14
13,13,Undirected,14460,,,2
"מפקח האזורי",11,Undirected,14436,,,8
"מוסד ביקורת מוסמך",מפקח העבודה,Undirected,14091,,,4
"מוסד ביקורת מוסמך",מתכנן הקמת,Undirected,14093,,,4
13,מפקח האזורי,Undirected,14459,,,8
"מוסד ביקורת מוסמך",קבלן,Undirected,14097,,,4
"מוסד ביקורת מוסמך",בונה מקצועי,Undirected,14101,,,4
"מפקח העבודה",מתכנן הקמת,Undirected,14153,,,4
"מפקח העבודה",בונה מקצועי,Undirected,14161,,,4
"מפקח האזורי",8,Undirected,14391,,,8
"מתכנן הקמת",קבלן,Undirected,14177,,,4
"מתכנן הקמת",בונה מקצועי,Undirected,14181,,,4
8,מתכנן הקמת,Undirected,14400,,,4
"קבלן",בונה מקצועי,Undirected,14221,,,4
"ממונה על שיטת",מפקח על הבטיחות,Undirected,14285,,,6
"ממונה על שיטת",מתכנן שלד,Undirected,14288,,,6
"ממונה על שיטת",מתכנן המחוז,Undirected,14291,,,6
"ממונה על שיטת",מתכנן השיטה,Undirected,14294,,,6
"ממונה על שיטת",קבלן,Undirected,14297,,,6
"מפקח על הבטיחות",מתכנן שלד,Undirected,14303,,,6
"מפקח על הבטיחות",מתכנן המחוז,Undirected,14306,,,6
"מפקח על הבטיחות",מתכנן השיטה,Undirected,14309,,,6
"מפקח על הבטיחות",קבלן,Undirected,14312,,,6
"מתכנן שלד",מתכנן המחוז,Undirected,14321,,,6
"מתכנן שלד",מתכנן השיטה,Undirected,14324,,,6
"מתכנן שלד",קבלן,Undirected,14327,,,6
"מתכנן המחוז",מתכנן השיטה,Undirected,14339,,,6
"מתכנן המחוז",קבלן,Undirected,14342,,,6
"מתכנן השיטה",קבלן,Undirected,14357,,,6
7,בונה מקצועי,Undirected,14359,,,4
7,קבלן,Undirected,14360,,,4
7,מתכנן הקמת,Undirected,14361,,,4
7,מפקח הראשי,Undirected,14364,,,2
7,7,Undirected,14365,,,6
7,מפקח העבודה,Undirected,14368,,,8
"מוסד ביקורת מוסמך",7,Undirected,14369,,,4
12,קבלן,Undirected,14444,,,8
"מתכנן הקמת",11,Undirected,14427,,,4
15,7,Undirected,14479,,,2
15,מפקח העבודה,Undirected,14481,,,2
"מפקח האזורי",7,Undirected,14377,,,8
