Id,Label,timeset,x_coord,y_coord,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,clustering,triangles,componentnumber,pageranks,Authority,Hub,Weighted Degree,eigencentrality
"מתכנן המיתקן",,,20,3,0,0,0,0,0,0,0,0,0.005273,0,0,0,0
"ממונה על העבודה",,,20,4,0,0,0,0,0,0,0,1,0.005273,0,0,0,0
"מפקח על הבטיחות",מפקח על הבטיחות,,20,5,5,3,0.465517,0.537037,0,1,10,2,0.027265,0.042785,0.042785,30,0.134922
"מתכנן המחוז",מתכנן המחוז,,20,6,5,3,0.465517,0.537037,0,1,10,2,0.027265,0.042785,0.042785,30,0.134922
"מפקח הראשי",מפקח הראשי,,20,7,11,2,0.627907,0.703704,2.978571,0.836364,46,2,0.03305,0.25513,0.25513,74,0.772436
"ממונה על בני",ממונה על בני,,20,8,1,3,0.415385,0.444444,0,0,0,2,0.007754,0.027141,0.027141,4,0.083612
"מפקח הכללי",מפקח הכללי,,20,10,1,3,0.421875,0.450617,0,0,0,2,0.007884,0.027357,0.027357,2,0.084316
"מתכנן מראש",מתכנן מראש,,20,17,3,3,0.465517,0.512346,0,1,3,2,0.016234,0.03547,0.03547,30,0.10616
14,"ממונה על ארגז, ממונה על הארגז",,20,9,14,2,0.642857,0.722222,2,0.782051,61,2,0.037441,0.276503,0.276503,108,0.89405
11,"הבודק המוסמך, בודק מוסמך, בודק המוסמך",,20,16,17,2,0.692308,0.777778,32.578571,0.533333,64,2,0.048708,0.305745,0.305745,110,0.994349
9,"ממונה על פיצוצים, ממונה על הפיצוצים",,20,36,5,3,0.465517,0.512346,0,0.833333,5,2,0.017877,0.03547,0.03547,50,0.116534
"מפקח העבודה",מפקח העבודה,,20,23,20,2,0.794118,0.87037,109.078571,0.378947,72,2,0.067381,0.328634,0.328634,194,0.987789
"מפקח המרחב",מפקח המרחב,,20,25,3,3,0.465517,0.512346,0,1,3,2,0.016234,0.03547,0.03547,30,0.10616
13,"ממונה על ביצוע, ממונה על ביצועו",,20,2,13,2,0.627907,0.703704,3.928571,0.772727,51,2,0.034545,0.252935,0.252935,84,0.828022
15,"מוסמך למתן איתות, המוסמך למתן איתות",,20,20,7,3,0.490909,0.555556,0,0.8,12,2,0.018075,0.124299,0.124299,14,0.408102
"מפקח על מקום",מפקח על מקום,,20,28,2,3,0.457627,0.493827,0,1,1,2,0.010667,0.047566,0.047566,4,0.142043
"מפקח העתק",מפקח העתק,,20,29,4,3,0.482143,0.537037,0,1,6,2,0.015598,0.097376,0.097376,8,0.295885
"ממונה על הציוד",ממונה על הציוד,,20,30,2,3,0.465517,0.5,0,1,1,2,0.010814,0.056529,0.056529,4,0.168569
"מתכנן השיטה",מתכנן השיטה,,20,31,5,3,0.465517,0.537037,0,1,10,2,0.027265,0.042785,0.042785,30,0.134922
"בונה מקצועי",בונה מקצועי,,20,32,8,2,0.586957,0.648148,0,1,28,2,0.026845,0.197885,0.197885,32,0.589799
"ממונה על שיטת",ממונה על שיטת,,20,33,5,3,0.465517,0.537037,0,1,10,2,0.027265,0.042785,0.042785,30,0.134922
12,"מפקח הורה, מפקח על אי, מפקח על, מפקח הוא",,20,1,11,2,0.6,0.666667,0,0.888889,40,2,0.028664,0.228102,0.228102,88,0.744769
"מוסד ביקורת מוסמך",מוסד ביקורת מוסמך,,20,35,8,2,0.586957,0.648148,0,1,28,2,0.026845,0.197885,0.197885,32,0.589799
"מתכנן הקמת",מתכנן הקמת,,20,37,8,2,0.586957,0.648148,0,1,28,2,0.026845,0.197885,0.197885,32,0.589799
"מפקח האזורי",מפקח האזורי,,20,38,9,2,0.6,0.666667,0,1,36,2,0.0282,0.228102,0.228102,72,0.687122
"מתכנן שלד",מתכנן שלד,,20,39,5,3,0.465517,0.537037,0,1,10,2,0.027265,0.042785,0.042785,30,0.134922
8,"המעסיק, מעסיק",,20,14,18,2,0.710526,0.796296,43.528571,0.470588,64,2,0.05475,0.308176,0.308176,186,1
10,"ממונה על בטיחות, ממונה על הבטיחות",,20,15,12,2,0.613636,0.685185,12.3,0.618182,34,2,0.034001,0.207208,0.207208,92,0.680653
"קבלן",קבלן,,20,42,18,2,0.75,0.833333,113.028571,0.457516,70,2,0.062871,0.310839,0.310839,174,0.939451
"ממונה על המחוז",,,20,43,0,0,0,0,0,0,0,3,0.005273,0,0,0,0
7,"מבצע הבניה, מבצע בניה",,20,11,16,2,0.675,0.759259,6.578571,0.609524,64,2,0.042205,0.303532,0.303532,90,0.986627
