Source,Target,Type,Id,Label,timeset,Weight
9,"פקודת הבטיחות בעבודה [נוסח חדש], תש""ל-1970",Undirected,20770,,,1
9,"פקודה), וסעיף 11א לחוק רישוי עסקים, תשכ""ח-1968",Undirected,20771,,,1
9,"חוק חומרי נפץ, תשי""ד-1954",Undirected,20772,,,2
9,"תקנות רישוי עסקים (אחסנת נפט), תשל""ז-1976",Undirected,20773,,,1
9,"חוק רישוי עסקים, תשכ""ח-1968",Undirected,20774,,,1
9,"חוק), וסעיפים 173 ו-216 לפקודת הבטיחות בעבודה [נוסח חדש], תש""ל-1970",Undirected,20775,,,1
9,"חוק כי דינם כדין גופים פטורים, ועל קניה ומכירה של חומרי נפץ בידי כל אחד מאלה. מיום 21.3.1996 תק' תשנ""ו-1996",Undirected,20776,,,1
9,"תקנות חומרי נפץ (מסחר, העברה, ייצור, החסנה ושימוש), תשנ""ד-1994",Undirected,20777,,,1
9,"פקודת התעבורה, ותקנות התעבורה, תשכ""א-1961",Undirected,20778,,,1
5,"תקנות (תיקון מס' 6) תשס""ה-2005",Undirected,19874,,,1
5,"חוק הנפט, תשי""ב-1952",Undirected,19875,,,2
5,"חוק הגז (בטיחות ורישוי), תשמ""ט-1989",Undirected,19876,,,1
5,"חוק שירות הציבור (מתנות), התש""ם-1979",Undirected,19877,,,1
5,"תקנות אלה;                     ""שירות רפואי מוסמך"" – כל אחד מאלה: (1)   לשכת בריאות מחוזית או נפתית של משרד הבריאות; תק'     תש""ס-2000",Undirected,19878,,,1
5,"תקנת משנה (א). מיום 4.5.2000 תק' תש""ס-2000",Undirected,19879,,,1
5,"חוק מס מקביל, התשל""ג-1973",Undirected,19880,,,1
5,"תקנות אלה; מיום 17.10.1991 תק' תשנ""ב-1991",Undirected,19881,,,1
5,"תקנות הבטיחות בעבודה (גיהות תעסוקתית ובריאות העובדים ברעש),  תשמ""ד-1984",Undirected,19882,,,2
5,"הוראת   מעבר Go 6 סעיף   16  תחילה Go 6    תקנות הבטיחות בעבודה (גיהות תעסוקתית ובריאות העובדים ברעש),  תשמ""ד-1984",Undirected,19883,,,1
5,"תקנות, כולן או מקצתן, ורשאי הוא לעשות כן לתקופה קצובה, במגבלות ובתנאים אשר יורה. מיום 4.5.2000 תק' תש""ס-2000",Undirected,19884,,,1
5,"תקנה 2) תק'     תשנ""ה-1995",Undirected,19885,,,1
5,"תקנות אלה; תק'     תשנ""ה-1995",Undirected,19886,,,1
5,"חוק בריאות ממלכתי, תשנ""ד-1994",Undirected,19887,,,1
5,"תקנות אלה; מיום 4.5.2000 תק' תש""ס-2000",Undirected,19888,,,1
5,"חוק ביטוח בריאות ממלכתי, תשנ""ד-1994",Undirected,19889,,,1
5,"תקנות אלה: הגדרות   1.    בתקנות אלה:           ""רעש מזיק"" – רעש שמפלסו גבוה מהערכים המותרים בתקנות אלה העלול לגרום לנזק בריאות לעובד החשוף לו במקום עבודתו; תק' תשנ""ה-1995",Undirected,19890,,,1
5,"תקנות אלה; מיום 13.8.1988 תק' תשמ""ח-1988",Undirected,19891,,,1
5,"תקנות אלה; תק'     תשנ""א-1990",Undirected,19892,,,1
5,"תקנה 15(ב) ו-(ד) אבחנה רנטגנית סופית ואבחנה רפואית סופית לגבי המחלות הנקובות בתקנה 20(א); תק' תשנ""א-1990",Undirected,19893,,,1
5,"תקנות אלה; מיום 24.11.1990 תק' תשנ""א-1990",Undirected,19894,,,1
5,"תקנה 2ב;   מיום 23.4.1998 תק' תשנ""ח-1998",Undirected,19895,,,1
5,"תקנות הבטיחות בעבודה (גיהות תעסוקתית ובריאות הציבור והעובדים באסבסט, טלק וצורן דו-חמצני גבישי באבק מזיק), תשמ""ד-1984",Undirected,19896,,,1
5,"תקנה 2ב איסור עבודת נוער   3.    (א)  נער לא יועבד בחומר.           (ב)  בתקנה זו, ""נער"" – מי שטרם מלאו לו 18 שנים. נקיטת אמצעי     זהירות תק'     תש""ס-2000",Undirected,19897,,,1
5,"תקנת משנה (ה). תק'     תשמ""ח-1988",Undirected,19898,,,1
