Id	Label	timeset	x_coord	y_coord	Degree	Eccentricity	closnesscentrality	harmonicclosnesscentrality	betweenesscentrality	componentnumber	pageranks	Weighted Degree	y_coord_unique	Authority	Hub	modularity_class	clustering	triangles	eigencentrality
בונה מקצועי	בונה מקצועי		20	32	70	5	0.355705	0.399641	307.376716	0	0.007465	71	2032	0	0.101884	7	0	0	0.215629
7	ממונה על בטיחות, ממונה על הבטיחות		20	15	163	5	0.391763	0.484209	6714.028239	0	0.020619	176	2015	0	0.141706	4	0	0	0.334424
המוסמך למתן איתות	המוסמך למתן איתות		20	22	29	5	0.276247	0.313118	58	0	0.003373	32	2022	0	0.025324	0	0	0	0.05704
3	ממונה על ארגז, ממונה על הארגז		20	9	165	5	0.39135	0.484996	1977.921636	0	0.017298	177	2009	0	0.265401	1	0	0	0.550829
מוסד ביקורת מוסמך	מוסד ביקורת מוסמך		20	35	70	5	0.355705	0.399641	307.376716	0	0.007465	71	2035	0	0.101884	7	0	0	0.215629
מוסמך למתן איתות	מוסמך למתן איתות		20	20	29	5	0.276247	0.313118	58	0	0.003373	32	2020	0	0.025324	0	0	0	0.05704
5	מפקח הוא, מפקח הורה, מפקח על, מפקח על אי		20	26	145	5	0.383264	0.467026	6907.94738	0	0.01879	155	2001	0	0.187657	1	0	0	0.396033
ממונה על בני	ממונה על בני		20	8	3	5	0.332735	0.337758	13.76554	0	0.000729	3	2008	0	0.002418	1	0	0	0.005543
4	ממונה על ביצוע, ממונה על ביצועו		20	2	188	5	0.401515	0.505997	5802.528703	0	0.021944	204	2002	0	0.241914	4	0	0	0.524933
8	המעסיק, מעסיק		20	14	463	5	0.571649	0.753077	115186.9686	0	0.071048	497	2014	0	0.418271	3	0	0	0.961868
ממונה על המחוז	ממונה על המחוז		20	43	2	1	1	1	1	1	0.001919	2	2043	0	0	2	0	0	0.00053
ממונה על העבודה	ממונה על העבודה		20	4	16	5	0.336661	0.349438	48.786887	0	0.002308	16	2004	0	0.01352	7	0	0	0.030902
ממונה על הציוד	ממונה על הציוד		20	30	3	5	0.332735	0.337758	3.074751	0	0.000667	3	2030	0	0.003072	3	0	0	0.007071
ממונה על שיטת	ממונה על שיטת		20	33	64	5	0.351326	0.391891	628.247793	0	0.007257	66	2033	0	0.019964	5	0	0	0.072324
9	ממונה על הפיצוצים, ממונה על פיצוצים		20	41	9	5	0.334536	0.343149	22.508787	0	0.001629	10	2036	0	0.004218	4	0	0	0.011304
מפקח האזורי	מפקח האזורי		20	38	98	5	0.365517	0.424798	527.764912	0	0.010332	106	2038	0	0.169562	1	0	0	0.348064
מפקח הכללי	מפקח הכללי		20	10	134	5	0.348684	0.438881	4551.675822	0	0.029373	140	2010	0	0.036775	3	0	0	0.123977
מפקח המרחב	מפקח המרחב		20	25	9	5	0.334536	0.343149	22.508787	0	0.001629	10	2025	0	0.004218	4	0	0	0.011304
מפקח העבודה	מפקח העבודה		20	23	452	5	0.56383	0.743868	92525.59605	0	0.063218	513	2023	0	0.448306	4	0	0	1
מפקח העתק	מפקח העתק		20	29	94	5	0.36444	0.421541	1120.952768	0	0.012221	98	2029	0	0.080136	4	0	0	0.193177
מפקח הראשי	מפקח הראשי		20	7	127	5	0.377033	0.451527	2294.702729	0	0.013508	138	2007	0	0.194886	1	0	0	0.405104
6	בודק המוסמך, בודק מוסמך, הבודק המוסמך		20	34	219	5	0.416386	0.534524	8974.256523	0	0.023853	240	2016	0	0.311135	1	0	0	0.654215
מפקח על הבטיחות	מפקח על הבטיחות		20	5	64	5	0.351326	0.391891	628.247793	0	0.007257	66	2005	0	0.019964	5	0	0	0.072324
מפקח על מקום	מפקח על מקום		20	28	5	5	0.333333	0.339555	10.993589	0	0.000896	5	2028	0	0.005138	4	0	0	0.011663
מתכנן המחוז	מתכנן המחוז		20	6	64	5	0.351326	0.391891	628.247793	0	0.007257	66	2006	0	0.019964	5	0	0	0.072324
מתכנן המיתקן	מתכנן המיתקן		20	3	12	5	0.237668	0.260939	8096	0	0.007045	12	2003	0	0.0002	6	0	0	0.003613
מתכנן הקמת	מתכנן הקמת		20	37	70	5	0.355705	0.399641	307.376716	0	0.007465	71	2037	0	0.101884	7	0	0	0.215629
מתכנן השיטה	מתכנן השיטה		20	31	64	5	0.351326	0.391891	628.247793	0	0.007257	66	2031	0	0.019964	5	0	0	0.072324
מתכנן מראש	מתכנן מראש		20	17	9	5	0.334536	0.343149	22.508787	0	0.001629	10	2017	0	0.004218	4	0	0	0.011304
מתכנן שלד	מתכנן שלד		20	39	64	5	0.351326	0.391891	628.247793	0	0.007257	66	2039	0	0.019964	5	0	0	0.072324
קבלן	קבלן		20	42	321	5	0.468434	0.625157	58724.57669	0	0.038927	351	2042	0	0.345471	7	0	0	0.769165
תקנות אלה; (6) (7) הפיקוח הרפואי במחלקת הפיקוח על העבודה במשרד העבודה והרווחה; (8) המחלקה הרפואית לעובדי המדינה במשרד הבריאות;   מיום 25.5.1996 תק' תשנ"ו-1996			40	1	2	6	0.361071	0.405818	0.985621	0	0.000426	2		0.015422	0	4	0	0	0.034016
חוק שירות הציבור (מתנות), התש"ם-1979			40	2	10	4	0.489123	0.498315	316.637256	0	0.001217	10		0.070831	0	1	0	0	0.150973
תקנת משנה (ה) תוכן תכנית הקמת פיגומים אשר תכלול את האמצעים אשר יקנו לפיגום אותה מידת יציבות. מיום 29.8.1991 תק' תשנ"א-1991			40	3	9	4	0.488479	0.497417	267.911816	0	0.0011	9		0.058988	0	7	0	0	0.127308
חוק רישום ציוד הנדסי, תשי"ז-1957			40	4	3	4	0.369338	0.4115	12.606953	0	0.000506	3		0.02662	0	4	0	0	0.056561
חוק זכויות לאנשים עם מוגבלות המועסקים כמשתקמים (הוראת שעה), תשס"ז-2007			40	5	10	4	0.489123	0.498315	316.637256	0	0.001217	10		0.070831	0	1	0	0	0.150973
חוק לביטול פקודת העיתונות, תשע"ז-2017			40	6	2	6	0.401298	0.440836	56.06371	0	0.000431	2		0.01852	0	7	0	0	0.042778
חוק ארגון הפיקוח על העבודה, תשי"ד-1954			40	7	17	4	0.493679	0.504605	881.830636	0	0.001982	54		0.084075	0	4	0	0	0.181634
הוראת שעה) תשע"ט-2018			40	8	5	6	0.435702	0.466801	78.495529	0	0.000763	5		0.03226	0	4	0	0	0.074752
תקנות הבטיחות בעבודה (עגורנאים, מפעילי   מכונות הרמה אחרות ואתתים), תשנ"ג-1992			40	9	0	0	0	0	0	2	0.000197	0		0	0	8	0	0	0
תקנות הוראות בדבר דרכי סיוע של המעביד לועדת בטיחות במילוי תפקידיה; תקנות כאמור יכול שיהיו כלליות או לפי סוגי מפעלים, ענפי עבודה, מקצועות או אזורים.   מיום 15.7.2014 תיקון מס' 8 ס"ח תשע"ד מס' 2459			40	10	5	6	0.435702	0.466801	78.495529	0	0.000763	5		0.03226	0	4	0	0	0.074752
פקודת הרופאים [נוסח חדש], תשל"ז-1976			40	11	2	6	0.361071	0.405818	0.985621	0	0.000426	2		0.015422	0	4	0	0	0.034016
הוראות פקודה זו או תקנה לפיה, יראו את הדבר כאילו היתה הפרת הוראה לגבי כל עובד לחוד.   סימן ב': עבירות ועונשין עונש כשלא נקבע     במפורש (תיקון מס' 1)      תשל"ד-1974			40	12	10	4	0.489123	0.498315	316.637256	0	0.001217	10		0.070831	0	1	0	0	0.150973
תקנות הבטיחות בעבודה (גיהות תעסוקתית   ובריאות הציבור והעובדים באבק מזיק), תשמד-1984			40	13	0	0	0	0	0	3	0.000197	0		0	0	9	0	0	0
תקנה 20(א), בתקופה של שנתיים מיום התחילה ימסור המהנדס את המידע להיתר בתוך 45 ימים מיום קליטת הבקשה.            תק'     תשע"ח-2018			40	14	6	6	0.320518	0.364735	17.831016	0	0.000782	6		0.010798	0	5	0	0	0.031267
חוק תק'     תשנ"ח-1998			40	15	2	6	0.364261	0.409164	3.028541	0	0.000514	2		0.011035	0	3	0	0	0.028416
תקנות ארגון הפיקוח על העבודה (ממונים על הבטיחות), תשכ"ה-1965			40	16	5	4	0.484651	0.493149	246.499829	0	0.000754	5		0.041032	0	7	0	0	0.092776
תקנה 25(2)(ב) וכן מבוטח כאמור בתקנה 26(1א) ו-(1ב) - הם 0.4% מסכום הכנסת מינימום לפי פרט 1 בלוח י"א לחוק, כפול שניים. תק' (מס' 2)      תשכ"ה-1965			40	17	2	6	0.364261	0.409164	3.028541	0	0.000514	2		0.011035	0	3	0	0	0.028416
תקנה זו אינן באות לגרוע מכוחן של תקנות מדידת מים (מדי מים), התשמ"ח-1988			40	18	1	6	0.192079	0.202785	0	0	0.000696	1		0.000005	0	6	0	0	0.00047
חוק רישוי עסקים, התשכ"ח-1968			40	19	6	6	0.320518	0.364735	17.831016	0	0.000782	6		0.010798	0	5	0	0	0.031267
תקנה 88) תקנות הבטיחות בעבודה (עגורני-צריח), תשכ"ז-1966			40	20	7	4	0.370815	0.415094	69.919235	0	0.000901	7		0.036011	0	0	0	0	0.077893
