Id	x_coord	y_coord
תקנות אלה; (6) (7) הפיקוח הרפואי במחלקת הפיקוח על העבודה במשרד העבודה והרווחה; (8) המחלקה הרפואית לעובדי המדינה במשרד הבריאות;   מיום 25.5.1996 תק' תשנ"ו-1996	40	1
חוק שירות הציבור (מתנות), התש"ם-1979	40	2
תקנת משנה (ה) תוכן תכנית הקמת פיגומים אשר תכלול את האמצעים אשר יקנו לפיגום אותה מידת יציבות. מיום 29.8.1991 תק' תשנ"א-1991	40	3
חוק רישום ציוד הנדסי, תשי"ז-1957	40	4
חוק זכויות לאנשים עם מוגבלות המועסקים כמשתקמים (הוראת שעה), תשס"ז-2007	40	5
חוק לביטול פקודת העיתונות, תשע"ז-2017	40	6
חוק ארגון הפיקוח על העבודה, תשי"ד-1954	40	7
הוראת שעה) תשע"ט-2018	40	8
תקנות הבטיחות בעבודה (עגורנאים, מפעילי   מכונות הרמה אחרות ואתתים), תשנ"ג-1992	40	9
תקנות הוראות בדבר דרכי סיוע של המעביד לועדת בטיחות במילוי תפקידיה; תקנות כאמור יכול שיהיו כלליות או לפי סוגי מפעלים, ענפי עבודה, מקצועות או אזורים.   מיום 15.7.2014 תיקון מס' 8 ס"ח תשע"ד מס' 2459	40	10
פקודת הרופאים [נוסח חדש], תשל"ז-1976	40	11
הוראות פקודה זו או תקנה לפיה, יראו את הדבר כאילו היתה הפרת הוראה לגבי כל עובד לחוד.   סימן ב': עבירות ועונשין עונש כשלא נקבע     במפורש (תיקון מס' 1)      תשל"ד-1974	40	12
תקנות הבטיחות בעבודה (גיהות תעסוקתית   ובריאות הציבור והעובדים באבק מזיק), תשמד-1984	40	13
תקנה 20(א), בתקופה של שנתיים מיום התחילה ימסור המהנדס את המידע להיתר בתוך 45 ימים מיום קליטת הבקשה.            תק'     תשע"ח-2018	40	14
חוק תק'     תשנ"ח-1998	40	15
תקנות ארגון הפיקוח על העבודה (ממונים על הבטיחות), תשכ"ה-1965	40	16
תקנה 25(2)(ב) וכן מבוטח כאמור בתקנה 26(1א) ו-(1ב) - הם 0.4% מסכום הכנסת מינימום לפי פרט 1 בלוח י"א לחוק, כפול שניים. תק' (מס' 2)      תשכ"ה-1965	40	17
תקנה זו אינן באות לגרוע מכוחן של תקנות מדידת מים (מדי מים), התשמ"ח-1988	40	18
חוק רישוי עסקים, התשכ"ח-1968	40	19
תקנה 88) תקנות הבטיחות בעבודה (עגורני-צריח), תשכ"ז-1966	40	20
הוראות תקנות 2, 4, 5, 6(א), 7(ג) או 11 – דינו קנס, שלא יעלה על הקבוע בסעיף 61(א)(1) לחוק העונשין, תשל"ז-1977	40	21
הוראות תקנה זו אינן באות לגרוע מכוחן של תקנות מדידת מים (מדי מים), התשמ"ח-1988	40	22
תקנות המהנדסים והאדריכלים להגיש לרשות המוסמכת תכנית כמשמעותה בתקנות האמורות; תק'     תשע"ח-2018	40	23
תקנות שהותקנו לפיו, תקנות הבטיחות בעבודה (חשמל), תשמ"ו-1986	40	24
הוראות בדבר מינוי ממונה על בטיחות ופסילתו, בדבר חובותיו כלפי מפקח עבודה וועדת בטיחות ובדבר העונש שיהיה צפוי לו באי-מילוי חובותיו. מיום 1.11.1989 תיקון מס' 4 ס"ח תשמ"ט מס' 1286	40	25
תקנה זו - מפעל המסווג בתוספת הראשונה בקבוצות וסעיפי סיכון בענפים: 7, 5, 4, 3, 2, 1, 0. תק' (מס' 2)      תשל"ה-1975	40	26
חוק;           "הבנין העיקרי" – בנין המוקם בעבור השימוש הקבוע בתכנית; תק'     תשע"ג-2012	40	27
הוראות לפי חוק זה, או מתן הכשרה מקצועית. מיום 28.1.2016 תיקון מס' 9 ס"ח תשע"ו מס' 2525	40	28
